        2200
         568        1030         720
         418         811         695
         939         978         979
         702         939         734
         668         346          23
         279         416         262
         266         940         698
         868         235         743
         650         701         453
         157         574         697
         218         617         891
         637         483         817
          27         754         831
         498         402         578
         665         402         498
         786         611         816
         787         693         809
         787         794         693
         404          23          28
         143         879         244
         581        1034         642
        1031          32        1036
         688         935         802
         686         183         263
         684          85         202
          85         595         202
         607         604          34
          34         604         903
         607          64         604
         223         597         104
         943         905         620
         269          86         674
         670          44         669
         425        1085         644
         252         303         673
         303         453         673
         200         202         595
         459         671         160
         697           2         171
         171           2         565
         375         113         231
         697         574           2
         703         886         653
         400         497         687
          24         242         447
         319         894         667
         799         759         773
         895         462         264
         842          39         324
         370         236         658
         360         279          39
         448         379         890
         448         890         815
         408          43         226
         766         445         862
         935         121         422
          42         792         121
         898         505         764
         397         652         813
         546         132          60
         447         461         904
         944         853         900
         567         472         636
         655          92          89
         776         149         547
         985         649         570
          92         230          89
         783         163         159
         163         414         159
          48         432        1013
          96          44         102
         631         636         616
         795         917         916
         274         111         132
          79         450         874
         747          65         475
         173         187         504
         415        1040         409
         504         187         696
         173         533         187
         282         946         607
         494        1041         666
         996         649         449
        1042         106         134
         368         710         423
         134         106         395
          49         907         106
         903         273          99
         887          70          68
         887          68         643
          82         314        1123
         841         702          47
         841          47         692
         941         791          85
         150         455         376
          83         625         626
         942         791         941
          58        1124         554
         906         591         918
        1130           1         108
         265         213         949
         606         950        1116
         387         612         194
         712         533         173
          81         949         906
         265         922         213
         609         816         611
         951         863         888
         712         197         681
         952         513        1019
         916         917         823
         785          15         517
          15         173         569
         737         206         715
          48          63         371
         371          63         590
         604          64         606
         634         228         557
         868         424         235
         459         160         269
         399         305         772
         434         964         206
          49         205         439
         876         229         874
         910         827          52
          53         793         224
         866         315         567
         224         793         845
         915         373         194
         582          44         583
         872          43         712
         909         676        1001
         699         331         957
         421         393         648
         957         128         677
         480         189         739
         296         336         911
         696          55         844
          55         959          59
         982         293         141
          66         394         993
        1049         993         790
          66         249         394
         337         344         914
         181         100         489
         100         977         271
         925         635         960
         996         230          61
         641         664          94
         621         664         398
         268         285         398
         692         579         841
         979         108           7
         960         441         651
         372         195         983
         362         498         578
         926         372         377
         353         909        1001
         971         256         728
          62         499         917
         109         928         427
          63        1045         426
        1013        1045          63
         957         331         128
         432         651         961
         429         137         433
         433         954         484
         433         137         954
         962         156         920
         425         963         300
         434         549         964
         964         243         715
         125         975         554
         988        1046          71
         123         701         549
         820         862         406
         662         924         684
         477         810         115
         170         503         110
         559         541         543
         253         921         539
        1014          52         827
         162         248         839
         233         412         105
         778         309         584
         248         204         839
         796         565         833
         526         491         466
         567         718         819
          82        1123         106
          66         966         967
         423         584         309
        1047         632         391
         167         830         146
          67         830         167
         125         680         124
        1056         419        1048
         690          68          72
         878          72         539
         944         922         853
         306         922          76
         136         906         918
          81         906         136
         625         905         679
         620         905         625
         749        1094         788
         389         155         788
         433        1049         589
         583          96         589
         314         225        1050
         127         350         459
         269         127         459
         127         969         350
         353         383         909
         757         785         517
         970         684         870
         757         877         785
         225          82         190
         369         871         161
         397          86         537
          79         874         229
         487         119         250
         543         541         436
         731         779         835
         473         602         596
         217         491         302
         953         728         813
         971         353         256
         828        1111         111
         826         892         354
         461          87         859
         585         650          90
         871         762         161
         463           6         717
         463         717         703
         653        1009         703
         668          23          19
         289         196         784
         739         972        1016
         972         486          88
         566         514         414
         444         765         360
         678         241         973
         572         884         885
         765         752         360
         721         637         726
         493         512        1065
         843         849         343
         467         812         705
         870         684         924
         843         343         802
         573         312         351
         157         697         511
        1128         857        1007
         852         624         488
         593         331         689
